model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa2-3,34,5e-05,1024,0.6142,0.6327,0.6142,0.6211,0.3308,0.0421,0.0093,0.0036,0.9451,0.9871,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa2-4,34,5e-05,1024,0.6162,0.6355,0.6162,0.6236,0.3295,0.0419,0.009,0.0034,0.9458,0.9877,0.9966
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa2-5,34,5e-05,1024,0.6194,0.6354,0.6194,0.6256,0.3252,0.0424,0.0094,0.0036,0.9446,0.987,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa2-1,34,0.0001,1024,0.612,0.6455,0.612,0.6224,0.3375,0.0403,0.008,0.0022,0.9496,0.9899,0.9978
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa2-2,34,0.0001,1024,0.6141,0.6409,0.6141,0.6232,0.334,0.041,0.0086,0.0024,0.9481,0.989,0.9976
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa2-3,34,0.0001,1024,0.6178,0.6318,0.6178,0.6233,0.3293,0.0411,0.0091,0.0027,0.9472,0.9882,0.9973
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa2-4,34,0.0001,1024,0.6104,0.6414,0.6104,0.6204,0.3382,0.0408,0.0082,0.0024,0.9486,0.9894,0.9976
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa2-5,34,0.0001,1024,0.6172,0.6362,0.6172,0.6245,0.3296,0.0424,0.0083,0.0025,0.9468,0.9892,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa2-1,34,0.0001,1024,0.6012,0.6424,0.6012,0.613,0.3478,0.0417,0.0076,0.0017,0.949,0.9907,0.9983
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa2-2,34,0.0001,1024,0.6072,0.6348,0.6072,0.6167,0.3408,0.0423,0.0077,0.0019,0.9481,0.9904,0.9981
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa2-3,34,0.0001,1024,0.6065,0.6331,0.6065,0.6155,0.3417,0.042,0.008,0.0018,0.9482,0.9902,0.9982
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa2-4,34,0.0001,1024,0.6008,0.639,0.6008,0.6127,0.3473,0.0427,0.0076,0.0016,0.9481,0.9908,0.9984
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa2-5,34,0.0001,1024,0.6126,0.6331,0.6126,0.6199,0.3346,0.0427,0.0082,0.002,0.9472,0.9899,0.998
